index,Author,sentenceLengthByChar,shannonEntropy
0,Kyle,48,2.1972245773362196
1,Kyle,67,2.3978952727983707
2,Kyle,42,2.1972245773362196
3,Kyle,21,1.6094379124341005
4,Kyle,32,1.7478680974667573
5,Kyle,28,1.945910149055313
6,Kyle,22,1.3862943611198906
7,Kyle,31,1.7478680974667573
8,Kyle,70,2.3025850929940455
9,Fitzgerald,63,2.458311329683084
10,Fitzgerald,142,3.0246955538582485
11,Fitzgerald,206,3.4235808368172123
12,Fitzgerald,417,3.896873807384114
13,Fitzgerald,152,3.1989165287206847
14,Fitzgerald,120,3.204777524132256
15,Fitzgerald,167,3.21039133978839
16,Fitzgerald,92,2.599301927099795
17,Fitzgerald,121,3.091042453358315
18,Fitzgerald,79,2.54003630382098
